1,1,The Hollow,179,1
2,1,Magdalena,246,2
3,1,Rose,206,3
4,1,Judith,247,4
5,1,Orestes,288,5
6,1,3 Libras,220,6
7,1,Sleeping Beauty,251,7
8,1,Thomas,209,8
9,1,Renholdër,145,9
10,1,Thinking of You,275,10
11,1,Breña,265,11
12,1,Over,141,12
13,2,The Package,461,1
14,2,Weak and Powerless,195,2
15,2,The Noose,293,3
16,2,Blue,254,4
17,2,Vanishing,292,5
18,2,A Stranger,192,6
19,2,The Outsider,246,7
20,2,Crimes,155,8
21,2,The Nurse who Loved Me,245,9
22,2,Pet,274,10
23,2,Lullaby,122,11
24,2,Gravity,306,12
25,3,Annihilation,134,1
26,3,Imagine,288,2
27,3,Peace Love And Understanding,303,3
28,3,Whats Going On,294,4
29,3,Passive,250,5
30,3,Gimmie Gimmie Gimmie,139,6
31,3,People Are People,223,7
32,3,Freedom Of Choice,179,8
33,3,Lets Have A War,208,9
34,3,Counting Bodies Like Sheep To The Rhythm Of The War Drums,336,10
35,3,When The Levee Breaks,355,11
36,3,Fiddle And The Drum,188,12
37,4,Hard As A Rock,272,1
38,4,Cover You In Oil,273,2
39,4,The Furor,251,3
40,4,Boogie Man,248,4
41,4,The Honey Roll,336,5
42,4,Burnin Alive,306,6
43,4,Hail Cesar,315,7
44,4,Love Bomb,194,8
45,4,Caught With Your Pants Down,255,9
46,4,Whiskey On The Rocks,276,10
47,4,Ballbreaker,272,11
48,5,21 Things,208,1
49,5,Narcissus,219,2
50,5,Hands Clean,279,3
51,5,Flinch,364,4
52,5,So Unsexy,309,5
53,5,Precious Illusions,252,6
54,5,That Particular Time,262,7
55,5,A Man,273,8
56,5,You Owe Me Nothing,301,9
57,5,Surrendering,276,10
58,5,Utopia,290,11
59,6,Même si la vie cpas du foie gras,257,1
60,6,Mon coeur mon amour,264,2
61,6,Elle sort quavec des blacks,387,3
62,6,Christina,236,4
63,6,Intermède : pendant ce temps là en Ecosse,185,5
64,6,La vie est dure,288,6
65,6,Rap collectif,397,7
66,6,Je taime à en crever...,233,8
67,6,Intermède : pendant ce temps là sur MTV,163,9
68,6,B-B Baise moi,288,10
69,6,Bad blues player,392,11
70,6,La plus belle chose au monde,267,12
71,7,Armed And Dangerous Studio,368,1
72,7,Raise Hell Studio,243,2
73,7,God Save The Queen Studio - Non Lp,182,3
74,7,Metal Thrashing Mad Live,171,4
75,7,Panic Live,225,5
76,7,Soldiers Of Metal Collectors Rare Track,188,6
77,7,Howling Furies Collectors Rare Track,247,7
78,8,Deathrider,193,1
79,8,Metal Thrashing Mad,162,2
80,8,Im Eighteen,247,3
81,8,Panic,242,4
82,8,Subjugator,283,5
83,8,Soldiers Of Metal,180,6
84,8,Death From Above,310,7
85,8,Anthrax,209,8
86,8,Across The River,87,9
87,8,Howling Furies,235,10
88,9,A.I.R.,345,1
89,9,Lone Justice,277,2
90,9,Madhouse,260,3
91,9,S.S.C. / Stand Or Fall,248,4
92,9,The Enemy,325,5
93,9,Aftershock,269,6
94,9,Armed and Dangerous,344,7
95,9,Medusa,284,8
96,9,Gung-ho,275,9
97,10,Among the Living,316,1
98,10,Caught in a Mosh,300,2
99,10,I Am the Law,354,3
100,10,Efilnikufesin N.F.L.,295,4
101,10,Skeleton in the Closet,329,5
102,10,Indians,342,6
103,10,One World,356,7
104,10,A.D.I. / Horror of It All,469,8
105,10,Imitation of Life,262,9
106,11,Im the Man Censored Radio Version,184,1
107,11,Im the Man Def Uncensored Version,184,2
108,11,Sabbath Bloody Sabbath,348,3
109,11,Im the Man - Live Extremely Def IIi Uncensored Version,280,4
110,11,Caught in a Mosh - Live,334,5
111,11,I Am the Law - Live,349,6
112,12,Be All,384,1
113,12,Out Of Sight,314,2
114,12,Make Me Laugh,342,3
115,12,Antisocial,266,4
116,12,Who Cares Wins,457,5
117,12,Now Its Dark,337,6
118,12,Schism,329,7
119,12,Misery Loves Company,342,8
120,12,13,51,9
121,12,Finale,350,10
122,13,Time,416,1
123,13,Blood,434,2
124,13,Keep It In The Family,430,3
125,13,In My World,386,4
126,13,Gridlock,318,5
127,13,Intro To Reality,204,6
128,13,Belly Of The Beast,288,7
129,13,Got The Time,165,8
130,13,H8 Red,305,9
131,13,One Man Stands,339,10
132,13,Discharge,253,11
133,14,Friggin In The Riggin,320,3
134,14,Parasite,196,4
135,14,Sects,186,5
136,14,Pipeline,123,6
137,15,Potters Field,301,1
138,15,Only,297,2
139,15,Room For One More,296,3
140,15,Packaged Rebellion,377,4
141,15,Hy Pro Glo,272,5
142,15,Invisible,371,6
143,15,1000 Points Of Hate,301,7
144,15,Black Lodge,326,8
145,15,C11 H17 O2 N2 S Na,266,9
146,15,Burst,222,10
147,15,This Is Not An Exit,410,11
148,16,Random Acts of Senseless Violence,244,1
149,16,Fueled,242,2
150,16,King Size,240,3
151,16,Riding Shotgun,267,4
152,16,Perpetual Motion,261,5
153,16,In a Zone,308,6
154,16,Nothing,274,7
155,16,American Pompeii,331,8
156,16,Drop the Ball,300,9
157,16,Tester,262,10
158,16,Bare,330,11
159,17,Crush!,263,1
160,17,Catharsis,294,2
161,17,Inside Out,332,3
162,17,Piss N Vinigar,193,4
163,17,604,35,5
164,17,Toast To The Extras,265,6
165,17,Born Again Idiot,258,7
166,17,Killing Box,217,8
167,17,Harms Way,314,9
168,17,Hog Tied,278,10
169,17,Big Fat,361,11
170,17,Cupajoe,46,12
171,17,Alpha Male,186,13
172,17,Stealing From A Thief,785,14
173,18,Bring The Noise,206,1
174,18,Potters Field,285,3
175,18,Ball Of Confusion,274,4
176,18,Crush,261,5
177,18,Im The Man,182,14
178,19,Bury Me an Angel,221,1
179,19,Dark Insanity,197,2
180,19,Eureka,285,3
181,19,Idolatress,297,4
182,19,Cosmic Retribution,240,5
183,19,Demoniality,81,6
184,19,Transmigration Macabre,250,7
185,19,Time Capsule,68,8
186,19,Fields Of Desolation,332,9
187,19,Losing Faith,196,10
188,19,The Ides Of March,108,11
189,20,Beast Of Man,216,1
190,20,Stigmata,132,2
191,20,Sinister Manifesto,345,3
192,20,Dark Of The Sun,421,4
193,20,Let The Killing Begin,319,5
194,20,Black Earth,399,6
195,20,Tears Of The Dead,356,7
196,20,Vox Stellarum,128,8
197,20,Bridge Of Destiny,464,9
198,21,The Immortal,222,1
199,21,Dead Inside,251,2
200,21,Pilgrim,271,3
201,21,Silverwing,246,4
202,21,Demonic Science,321,5
203,21,Seed of Hate,247,6
204,21,Angelclaw,244,7
205,21,Burning Bridges,329,8
206,21,Diva Satanica,226,9
207,21,10-Hydra,56,10
208,23,Enemy Within,260,1
209,23,Burning Angel,255,2
210,23,Heart of Darkness,292,3
211,23,Ravenous,245,4
212,23,Savage Messiah,316,5
213,23,Dead Bury Their Dead,233,6
214,23,Web of Lies,234,7
215,23,The First Deadly Sin,259,8
216,23,Behind the Smile,209,9
217,23,Snow Bound,93,10
218,23,Shadows and Dust,268,11
219,24,Starbreaker,205,1
220,24,Aces High,265,2
221,24,Scream Of Anger,227,3
222,24,Fields Of Desolation 99,363,5
223,24,Damnations Way,228,6
224,24,Hydra,56,7
225,25,Blood on Your Hands,281,1
226,25,The Last Enemy,256,2
227,25,I Will Live Again,212,3
228,25,In This Shallow Grave,294,4
229,25,Revolution Begins,252,5
230,25,Rise of the Tyrant,273,6
231,25,The Day You Died,293,7
232,25,Intermezzo Liberte,171,8
233,25,Night Falls Fast,198,9
234,25,The Great Darkness,287,10
235,25,Vultures,395,11
236,26,Girlfriend,217,1
237,26,I Can Do Better,197,2
239,26,The Best Damn Thing,191,4
240,26,When Youre Gone,241,5
241,26,Everything Back But You,183,6
242,26,Hot,204,7
243,26,Innocence,233,8
244,26,I Dont Have To Try,198,9
245,26,One Of Those Girls,176,10
246,26,Contagious,131,11
247,26,Keep Holding On,240,12
2888,26,Runaway,229,3
248,27,Let the music play Funkstars club deluxe edit,185,1
249,27,Youre the first,205,2
250,27,Cant get enough of your love babe,244,3
251,27,Let the music play,213,4
252,27,Change,371,5
253,27,Ill do for you anything you want me to,252,6
254,27,Sho you right,275,7
255,27,What am I gonna do with you,216,8
256,27,Come on,351,9
257,27,Im gonna love you just a little more babe,241,10
258,27,Never,249,11
259,27,Baby we better try and get it together,265,12
260,27,Just the way you are,290,13
261,27,All around the world,276,14
262,27,Dark and lovely,295,15
263,27,Loves interlude Good night my love,467,16
264,27,Cant get enough of your love babe U-nam remix,237,17
265,28,Bon Anniversaire,179,1
266,28,YA Une Fille QuHabite Chez Moi,233,2
267,28,Vélo,162,3
268,28,Porcelaine,254,4
269,28,À Notre Santé,199,5
270,28,Majorette,316,6
271,28,Couche Tard Et Lève Tôt,190,7
272,28,Coup Du Lapin,187,8
273,28,Saturne,258,9
274,28,Dramelet,209,10
275,28,Approchez,162,11
276,28,À Poings Fermés,174,12
277,29,Monospace,150,1
278,29,Dis lui oui,207,2
279,29,Paresseuse,213,3
280,29,Je suis de celles,209,4
281,29,Vade retro Téléphone,192,5
282,29,Litinéraire,193,6
283,29,Sac à main,203,7
284,29,La station Mir,221,8
285,29,La coquette,162,9
286,29,Les mots damour,192,10
287,29,Monsieur René,173,11
288,29,Le Zoo de Vincennes,238,12
289,29,Slow,472,13
290,30,La Petite Monnaie,216,1
291,30,Ya Une Fille Qhhabite Chez Moi,238,6
292,30,Ton Slow,306,8
293,31,Adolescente,244,4
294,31,Dis-lui oui,244,5
295,32,Hehul,297,4
296,32,Blouse du dentiste,243,6
297,32,Quand jétais chanteur,251,8
298,32,Le Slow,536,9
299,32,Dis,205,10
300,32,La ptite monnaie,225,11
301,32,Le Vélo... la chanson de Marius,195,12
302,33,Le Diner,182,1
303,33,Maritie et Gilbert Carpentier,230,2
304,33,Quatre murs et un toit,212,3
305,33,Bruxelles,209,4
306,33,Triste Compagne,174,5
307,33,La Berceuse,302,6
308,33,Les Epices du souk du Caire,283,7
309,33,Quest ce que tu voulais que je lui dise?,304,8
310,33,Le mechant de James Bond,193,9
311,33,Le Fou Rire,217,10
312,33,Tu peux compter sur moi,189,11
313,33,Le Cahier de solfege,569,12
314,34,Majordome,178,3
315,34,Ali et Félix,178,4
316,34,Tout va bien,165,5
317,34,Le chien,199,6
318,34,Advienne que pourra,189,7
319,34,Le 115,259,8
320,34,Mélanie Patterson,217,9
321,34,Cannibale,122,10
322,34,Les ricochets,148,11
323,34,La valse,346,12
324,35,All For You,239,1
325,35,Phoney Smiles And Fake,256,2
326,35,13 Years Of Grief,252,3
327,35,Rust,369,4
328,35,Superterrorizer,334,5
329,35,Counterfeit God,259,6
330,35,Aint Life Grand,279,7
331,35,Just Killing Time,296,8
332,35,Stronger Than Death,292,9
333,35,Love Rein Down,484,10
334,36,Lowdown,324,1
335,36,Phony Smiles + Fake Hello,274,6
336,36,Lost My Better Half,284,7
337,36,Bored to Fears,248,8
338,36,A.N.D.R.O.T.A.Z,267,9
339,36,born to booze lose,282,10
340,36,World of Trouble,360,11
341,36,No More Tears,556,12
342,36,The Begining... at Last,366,13
343,36,Heart of Gold,195,14
344,36,Snowblind,420,15
345,36,Like a Bird,276,16
346,36,Blood In The Wall,285,17
347,36,The Beginning... at Last,272,18
348,37,Bored to Tears,269,1
349,37,The Rose Petalled Garden,300,2
350,37,Hey You Batch of Lies,229,3
351,37,Born to Lose,264,4
352,37,Peddlers of Death,274,5
353,37,Mother Mary,267,6
354,37,Beneath the Tree,278,7
355,37,Low Down,277,8
356,37,T.a.z.,117,9
357,37,Black Pearl,208,11
358,37,Spoke in the Wheel,254,13
359,37,The Begining...at Last,267,14
360,38,Bleed for Me,331,1
361,38,Lords of Destruction,311,2
362,38,Demise of Sanity,204,3
363,38,Life/Birth/Blood/Doom,261,4
364,38,Bridge to Cross,350,5
365,38,Battering Ram,142,6
366,38,Speedball,59,7
367,38,Graveyard Disciples,200,8
368,38,Genocide Junkies,354,9
369,38,Lost Heaven,264,10
370,38,Refuse to Bow Down,294,11
371,38,Mass Murder Machine,347,12
372,38,Berserkers,306,13
373,38,America the Beautiful,198,14
374,39,Concrete Jungle,205,1
375,39,Black Mass Reverends,157,2
376,39,Blacked Out World,197,3
377,39,The Last Goodbye,245,4
378,39,Give Yourself To Me,199,5
379,39,Nothings The Same,182,6
380,39,Hell Is High,213,7
381,39,New Religion,277,8
382,39,Sick Of It All,236,9
383,39,Faith Is Blind,217,10
384,39,Blood Is Thicker Than Water,179,11
385,39,Devils Dime,136,12
386,39,Lead Me To Your Door,214,13
387,40,Rain Wizard,205,1
388,40,Backwoods Gold,187,2
389,40,Lonely Train,231,3
390,40,Maybe Someday,227,4
391,40,When The Weight Comes Down,216,5
392,40,Crosstown Woman,216,6
